id;target;source
14853;Ha estado enfermo en cama por una semana.;He has been ill in bed for a week.
14854;¿Te parece interesante?;Do you think this is interesting?
14855;¿Les parece interesante?;Do you think this is interesting?
14856;¿Le parece interesante?;Do you think this is interesting?
14857;El juego fue bastante interesante.;The game was very interesting.
14858;¿No tiene algo más pequeño?;Don't you have anything smaller than this?
14859;Voy a leer tu libro con mucho cuidado.;I will read your book with great care.
14860;Este no es un problema pequeño.;This is not a small problem.
14861;¿Quién es tu amigo más interesante?;Who's your most interesting friend?
14862;Es bueno y es pequeño.;It is good and is small.
14863;Él era demasiado pequeño para ir a la escuela.;He was too young to go to school.
14864;Deberías tener más cuidado con tu dinero.;You should be more careful with your money.
14865;Tom nunca estuvo enfermo.;Tom has never been sick.
14866;Tom nunca ha estado enfermo.;Tom has never been sick.
14867;¡Qué pequeño es el mundo!;What a small world!
14868;Estoy enfermo.;I am sick.
14869;Mi hermano debe estar enfermo.;My brother must be sick.
14870;Mi hermano debe de estar enfermo.;My brother must be sick.
14871;Me siento muy enfermo.;I feel very sick.
14872;Este libro no es nada interesante.;This book isn't interesting at all.
14873;¡Me parece interesante!;It seems interesting to me.
14874;Como estaba enfermo, no fui a la escuela.;As I was sick, I did not go to school.
14875;Ha estado enfermo durante mucho tiempo.;He has been sick for a long time.
14876;Es cierto que él está enfermo.;It is true that he is ill.
14877;Era realmente interesante.;That was really interesting.
14878;Mi padre nunca ha estado enfermo en su vida.;My father has never been sick in his life.
14879;El inglés no es fácil, pero es muy interesante.;English is not easy, but it is interesting.
14880;La historia se puso cada vez más interesante.;The story got more and more interesting.
14881;¿No tiene nada más pequeño que esto?;Don't you have anything smaller than this?
14882;Soy más pequeño que él.;I'm shorter than him.
14883;¿Es demasiado pequeño?;Is it too small?
14884;Mi hermano es pequeño pero fuerte.;My brother is small but strong.
14885;Encontré interesante la película.;I found the film interesting.
14886;Vi la película y la encontré interesante.;I saw the film and found it interesting.
14887;Encontré muy interesante esta película.;I found this film very interesting.
14888;Esa película es realmente interesante.;That film's really interesting.
14889;Un punto es un punto pequeño.;A point is a little point.
14890;Este libro es más pequeño.;This book is smaller.
14891;Este es un libro interesante.;This is a very interesting book.
14892;Tom parece estar enfermo.;Tom seems to be sick.
14893;Este libro parece interesante.;This book seems interesting.
14894;Tom es una persona muy interesante.;Tom is a very interesting person.
14895;Tom no puede salir hoy porque está enfermo.;Tom can't go out today because he's sick.
14896;John es mi hermano pequeño.;John is my younger brother.
14897;Desde que él era un niño pequeño, Tom sabía que él quería ser un policía.;From the time he was a small boy, Tom knew that he wanted to be a policeman.
14898;Leer libros es interesante.;Reading books is interesting.
14899;El juego era muy interesante.;The game was very interesting.
14900;¡Cuidado con el perro!;Beware of the dog!
14901;Este es el menos interesante.;This is the least interesting.
14902;¿Tiene uno que sea un poco más pequeño?;Do you have one a little smaller?
14903;Este cuarto es demasiado pequeño para nosotros.;This room is too small for us.
14904;Pensé que él estaba enfermo.;I thought he was sick.
14905;Él está enfermo.;He is ill.
14906;No tengo tiempo para estar enfermo.;I don't have time to be sick.
14907;Estoy enfermo y cansado de él.;I am sick and tired of him.
14908;La película no era tan interesante como el libro.;The movie wasn't as interesting as the book.
14909;Es muy pequeño.;It's too small.
14910;Era muy pequeño.;It was very small.
14911;!Qué historia más interesante!;What an interesting story it is!
14912;Este libro es muy pequeño.;This book is very small.
14913;Es demasiado pequeño.;It's too small.
14914;Esto debería ser interesante.;This should be interesting.
14915;¡Qué interesante!;How interesting!
14916;Yo estaba enfermo.;I was sick.
14917;Nunca pensé que podía estar enfermo.;I never thought that he could be ill.
14918;Él se ve enfermo.;He seems ill.
14919;Él parece enfermo.;He seems sick.
14920;Estás enfermo.;You're sick.
14921;Es un perro pequeño.;It is a small dog.
14922;Eso no es interesante.;That's not interesting.
14923;Tom parece enfermo.;Tom looks sick.
14924;No estás enfermo.;You're not sick.
14925;Mi hermano está enfermo desde ayer.;My brother has been sick since yesterday.
14926;La película fue interesante.;The movie was interesting.
14927;Soy demasiado pequeño.;I am too short.
14928;Si no tienes cuidado, podrías tener un accidente.;If you're not careful, you might have an accident.
14929;Solo creo que deberías tener más cuidado, eso es todo.;I just think you should be more careful, that's all.
14930;¿Estás seguro de que no quieres algo un poco más pequeño?;Are you sure you don't want something a little smaller?
14931;Eso es interesante.;That's interesting.
14932;Él parece haber estado enfermo por mucho tiempo.;He seems to have been ill for a long time.
14933;Aquí hay algo interesante.;Here's something interesting.
14934;¿Estás enfermo?;Are you sick?
14935;¿No tiene nada más pequeño que eso?;Don't you have anything smaller than that?
14936;Ese fue un día interesante.;That was an interesting day.
14937;Cuidado con la cabeza.;Mind your head.
14938;¿Puede ser verdad que está enfermo?;Can it be true that he is ill?
14939;Me siento enfermo.;I'm feeling sick.
14940;Ha estado en la cama enfermo durante cuatro días.;He's been sick in bed for four days.
14941;Mi hermano pequeño sabe leer en inglés.;My little brother can read English.
14942;¿Este es tu libro interesante?;Is this your interesting book?
14943;El hombre está enfermo.;The man is sick.
14944;Como estaba enfermo, no fui.;Because I was sick, I didn't go.
14945;¿Cuándo se puso enfermo?;When did he fall ill?
14946;Este libro era muy interesante.;This book was very interesting.
14947;No fui porque estaba enfermo.;Because I was sick, I didn't go.
14948;Está muy enfermo.;He is very sick.
14949;El perro parece enfermo.;The dog looks sick.
14950;Se dice que está en la cama enfermo.;It is said that she is ill in bed.
14951;Había una historia interesante en la carta al chico.;There was an interesting story in the letter to the boy.
14952;Él estuvo enfermo durante una semana.;He has been sick for a week.
14953;Él no puede estar enfermo.;He can't be ill.
14954;Estaba enfermo, pero hoy está bien.;He was ill, but today he's all right.
14955;Él está muy enfermo.;He's very ill.
14956;Debería tener más cuidado.;You should be more careful.
14957;Deberías tener más cuidado.;You should be more careful.
14958;Tom está en la cama enfermo.;Tom is sick in bed.
14959;Me han dicho que está en la cama enfermo.;I am told that he is ill in bed.
14960;Debe de estar en la cama enfermo.;She must be ill in bed.
14961;Su hijo está enfermo.;His son is ill.
14962;No sabía que Tom estaba enfermo.;I didn't know Tom was sick.
14963;Él no pudo ir a la fiesta por estar enfermo.;Because he was ill, he could not go to the party.
14964;Tom es mi hermano pequeño.;Tom is my younger brother.
14965;¿Cómo de pequeño es?;How small is it?
14966;Es una persona muy interesante.;She's a very interesting person.
14967;Leer libros es muy interesante.;Reading books is very interesting.
14968;¿Tom está enfermo?;Is Tom ill?
14969;Él no puede venir, está enfermo.;He cannot come, he is ill.
14970;No estoy enfermo.;I'm not sick.
14971;Mi madre murió cuando yo era pequeño.;My mother died when I was a kid.
14972;Tom está enfermo.;Tom's sick.
14973;Esto es muy interesante.;This is very interesting.
14974;Tom estaba enfermo, así que no pudo venir.;Tom was sick, so he couldn't come.
14975;No está enfermo.;He's not sick.
14976;Solo se quedó Tom.;Only Tom stayed.
14977;Yo vivo la vida.;I live life.
14978;Nadie se quedó en mi país.;Nobody stayed in my country.
14979;Lo que importa es que ella se quedó a mi lado.;What's important is that she stayed at my side.
14980;No vivo en esta ciudad.;I don't live in this city.
14981;No quedó comida.;There's no food left.
14982;Vivo en los Estados Unidos.;I live in the United States.
14983;Ella se quedó aquí sola.;She stayed here by herself.
14984;Él se quedó en ese hotel mucho tiempo.;He stayed at the hotel for a long time.
14985;Yo vivo solo.;I live alone.
14986;¿Sabes dónde vivo?;Do you know where I live?
14987;Ayer Mary se quedó en casa todo el día.;Yesterday Mary stayed home all day.
14988;Vivo en un hotel por ahora.;I'm staying at a hotel for the time being.
14989;Me siento tan vivo ahora.;I feel so alive right now.
14990;Tom no sabe que estoy vivo.;Tom doesn't know I'm alive.
14991;¿Pero todavía está vivo?;But he's still alive?
14992;Al menos estoy vivo.;At least I'm still alive.
14993;Por alguna razón, me siento más vivo por la noche.;For some reason I feel more alive at night.
14994;¿Para qué vivo?;What do I live for?
14995;Tom no se quedó mucho tiempo.;Tom didn't stay long.
14996;¿Sabe usted dónde vivo?;Do you know where I live?
14997;Él quedó mal.;He lost face.
14998;Su viejo gato todavía está vivo.;His old cat is still alive.
14999;Todavía estás vivo.;You're still alive.
15000;Trabajo entre amigos, y vivo entre libros.;I work among friends, and I live among books.
15001;Ayer, Tom se quedó en la casa todo el día.;Yesterday Tom stayed home all day.
15002;Se quedó hasta tarde anoche.;He sat up late last night.
15003;Uno se quedó y el otro se fue.;One stayed and the other went away.
15004;Yo vivo muy cerca de aquí.;I live quite near here.
15005;Le preguntó si él sabía dónde vivo.;She asked him if he knew where I lived.
15006;Ella se quedó muy cerca de él.;She stood very close to him.
15007;Vivo en la casa.;I live in the house.
15008;Soy japonés, pero no vivo en Japón.;I'm Japanese, but I don't live in Japan.
15009;Se quedó conmigo.;She stayed with me.
15010;No vivo más en Boston.;I don't live in Boston anymore.
15011;Yo ya no vivo aquí.;I don't live here anymore.
15012;Todo el mundo se quedó.;Everyone stood.
15013;¿Quién se quedó?;Who stood?
15014;Tom se quedó.;Tom stood.
15015;Yo vivo en esta casa.;This is the house I live in.
15016;Vivo para comer, y no como para vivir.;I live to eat, and I don't eat to live.
15017;Me siento vivo.;I feel alive.
15018;Vivo en Japón.;I live in Japan.
15019;Estoy seguro de que está vivo.;I'm sure he's alive.
15020;Lo único que importa es que estás vivo.;The only thing that matters is that you are alive.
15021;Ayer Tom se quedó todo el día en casa.;Yesterday Tom stayed home all day.
15022;Ayer Tom se quedó en casa todo el día.;Yesterday Tom stayed home all day.
15023;Vivo a una hora del trabajo.;I live an hour away from work.
15024;Vivo en una gran ciudad.;I live in a big city.
15025;Vivo en esta casa solo.;I live in this house by myself.
15026;Vivo con mis padres.;I live with my parents.
15027;¿Él aún está vivo?;Is he still alive?
15028;Está vivo.;It's alive.
15029;La mujer esa sabe dónde vivo.;That woman knows where I live.
15030;¿Su padre está vivo?;Is her father alive?
15031;Yo vivo aquí.;I live here.
15032;Vivo en este hotel.;I live in this hotel.
15033;Ella se quedó ahí por un momento.;She stayed there for a moment.
15034;No vivo con nadie.;Nobody lives with me.
15035;Vivo aquí.;I live here.
15036;Yo vivo con mis padres.;I live with my parents.
15037;Ella se quedó en el hotel.;She stayed at a hotel.
15038;Vivo en el país.;I live in the country.
15039;Parece que él todavía está vivo.;It seems he's still alive.
15040;Él se quedó sin dinero.;He ran out of money.
15041;No vivo para comer, como para vivir.;I don't live to eat; I eat to live.
15042;Tom se quedó sin agua.;Tom ran out of water.
15043;Tom se quedó sin tiempo.;Tom ran out of time.
15044;Tom se quedó sin comida.;Tom ran out of food.
15045;Tom se quedó sin dinero.;Tom ran out of money.
15046;Él se quedó ahí por tres días.;He stayed there for three days.
15047;Todavía estoy vivo.;I'm still alive.
15048;Él se quedó todo el día en casa en lugar de salir.;He stayed at home all day instead of going out.
15049;Esta es la casa donde vivo.;This is the house where I live.
15050;Se quedó en el hotel.;He stayed in the hotel.
